=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.31 10:24:38 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Down threshold:   f_down_thr = 475
 
Up threshold:   f_up_thr = 64
Up threshold:   f_up_thr = 31
Up threshold:   f_up_thr = 33
 
Up threshold:   f_up_thr = 324
Down threshold:   f_down_thr = 439
Up threshold:   f_up_thr = 377
Trial 1 started
time, up, down, lbl_up, lbl_down
7.3990, 368, 516, 1, 0
7.4230, 367, 517, 1, 0
7.4480, 366, 518, 1, 0
7.4740, 365, 520, 1, 0
7.4980, 364, 521, 1, 0
7.5240, 358, 523, 1, 0
7.5480, 358, 525, 1, 0
7.5730, 362, 525, 1, 0
7.5990, 362, 526, 1, 0
7.6230, 362, 526, 1, 0
7.6480, 365, 525, 1, 0
7.6730, 368, 525, 1, 0
7.6980, 369, 525, 1, 0
7.7230, 371, 524, 1, 0
7.7480, 373, 523, 1, 0
7.7730, 374, 523, 1, 0
7.7980, 374, 524, 1, 0
7.8230, 374, 524, 1, 0
7.8470, 374, 524, 1, 0
7.8730, 375, 524, 1, 0
7.8980, 375, 524, 1, 0
7.9230, 376, 524, 1, 0
7.9480, 376, 524, 1, 0
7.9720, 376, 524, 1, 0
7.9980, 377, 524, 0, 0
8.0220, 377, 524, 0, 0
8.0470, 377, 523, 0, 0
8.0730, 377, 523, 0, 0
8.0970, 378, 523, 0, 0
8.1230, 378, 520, 0, 0
8.1470, 379, 520, 0, 0
8.1720, 379, 522, 0, 0
8.1980, 380, 520, 0, 0
8.2220, 380, 517, 0, 0
8.2470, 381, 517, 0, 0
8.2720, 381, 517, 0, 0
8.2970, 383, 512, 0, 0
8.3230, 384, 513, 0, 0
8.3470, 384, 513, 0, 0
8.3720, 386, 510, 0, 0
8.3970, 387, 509, 0, 0
8.4220, 388, 509, 0, 0
8.4460, 390, 504, 0, 0
8.4720, 395, 498, 0, 0
8.4970, 399, 495, 0, 0
8.5220, 404, 489, 0, 0
8.5470, 408, 486, 0, 0
8.5710, 410, 486, 0, 0
8.5970, 410, 486, 0, 0
8.6220, 413, 481, 0, 0
8.6460, 417, 476, 0, 0
8.6720, 421, 472, 0, 0
8.6960, 423, 469, 0, 0
8.7220, 425, 469, 0, 0
8.7460, 425, 472, 0, 0
8.7710, 425, 474, 0, 0
8.7970, 425, 473, 0, 0
8.8210, 425, 474, 0, 0
8.8460, 425, 477, 0, 0
8.8710, 425, 477, 0, 0
8.8960, 425, 477, 0, 0
8.9220, 425, 479, 0, 0
8.9460, 425, 479, 0, 0
8.9710, 425, 479, 0, 0
8.9960, 425, 479, 0, 0
9.0210, 426, 480, 0, 0
9.0450, 426, 479, 0, 0
9.0710, 425, 479, 0, 0
9.0960, 425, 480, 0, 0
9.1210, 426, 480, 0, 0
9.1460, 426, 481, 0, 0
9.1700, 424, 482, 0, 0
9.1960, 423, 483, 0, 0
9.2210, 422, 484, 0, 0
9.2450, 420, 485, 0, 0
9.2710, 417, 486, 0, 0
9.2950, 412, 488, 0, 0
9.3210, 410, 490, 0, 0
9.3450, 409, 490, 0, 0
9.3700, 406, 491, 0, 0
9.3960, 400, 492, 0, 0
9.4200, 395, 495, 0, 0
9.4450, 395, 496, 0, 0
9.4700, 393, 497, 0, 0
9.4950, 390, 499, 0, 0
9.5210, 389, 500, 0, 0
9.5450, 386, 502, 0, 0
9.5700, 382, 504, 0, 0
9.5950, 378, 506, 0, 0
9.6200, 378, 508, 0, 0
9.6440, 377, 509, 0, 0
9.6700, 371, 511, 1, 0
9.6950, 368, 513, 1, 0
9.7200, 367, 516, 1, 0
9.7450, 364, 517, 1, 0
9.7690, 358, 520, 1, 0
9.7950, 359, 522, 1, 0
9.8200, 361, 522, 1, 0
9.8440, 360, 523, 1, 0
9.8700, 359, 524, 1, 0
9.8940, 361, 525, 1, 0
9.9200, 363, 525, 1, 0
9.9450, 364, 525, 1, 0
9.9690, 366, 524, 1, 0
9.9950, 368, 524, 1, 0
10.0190, 368, 525, 1, 0
10.0450, 369, 525, 1, 0
10.0720, 370, 524, 1, 0
10.0970, 371, 524, 1, 0
10.1240, 371, 524, 1, 0
10.1490, 372, 524, 1, 0
10.1750, 372, 524, 1, 0
10.2020, 373, 524, 1, 0
10.2270, 374, 524, 1, 0
10.2540, 375, 523, 1, 0
10.2790, 376, 523, 1, 0
10.3050, 376, 522, 1, 0
10.3320, 378, 520, 0, 0
10.3570, 379, 520, 0, 0
10.3840, 379, 520, 0, 0
10.4090, 380, 518, 0, 0
10.4350, 381, 516, 0, 0
10.4620, 383, 513, 0, 0
10.4870, 384, 511, 0, 0
10.5130, 388, 507, 0, 0
10.5390, 393, 502, 0, 0
10.5650, 395, 501, 0, 0
10.5920, 398, 498, 0, 0
10.6170, 404, 491, 0, 0
10.6430, 410, 486, 0, 0
10.6700, 413, 484, 0, 0
10.6950, 416, 480, 0, 0
10.7220, 418, 479, 0, 0
10.7470, 419, 479, 0, 0
10.7730, 421, 475, 0, 0
10.8000, 423, 473, 0, 0
10.8250, 424, 473, 0, 0
10.8520, 425, 472, 0, 0
10.8770, 426, 471, 0, 0
10.9030, 426, 473, 0, 0
10.9300, 425, 475, 0, 0
10.9550, 426, 476, 0, 0
10.9810, 425, 478, 0, 0
11.0070, 426, 480, 0, 0
11.0330, 426, 480, 0, 0
11.0600, 426, 481, 0, 0
11.0850, 425, 482, 0, 0
11.1110, 426, 483, 0, 0
11.1370, 426, 483, 0, 0
11.1630, 425, 483, 0, 0
11.1900, 425, 483, 0, 0
11.2150, 424, 484, 0, 0
11.2410, 422, 484, 0, 0
11.2680, 421, 485, 0, 0
11.2930, 419, 486, 0, 0
11.3200, 416, 488, 0, 0
11.3450, 415, 489, 0, 0
11.3710, 413, 490, 0, 0
11.3980, 409, 492, 0, 0
11.4230, 405, 493, 0, 0
11.4500, 397, 495, 0, 0
11.4750, 391, 498, 0, 0
11.5010, 391, 499, 0, 0
11.5280, 385, 501, 0, 0
11.5530, 377, 504, 0, 0
11.5790, 376, 507, 1, 0
11.6050, 375, 508, 1, 0
11.6310, 368, 511, 1, 0
11.6580, 366, 514, 1, 0
11.6830, 360, 517, 1, 0
11.7090, 351, 521, 1, 0
11.7360, 344, 526, 1, 0
11.7610, 345, 528, 1, 0
11.7880, 344, 529, 1, 0
11.8130, 340, 532, 1, 0
11.8390, 339, 534, 1, 0
11.8660, 337, 536, 1, 0
11.8910, 334, 539, 1, 0
11.9180, 334, 541, 1, 0
11.9430, 336, 542, 1, 0
11.9690, 337, 543, 1, 0
11.9960, 337, 543, 1, 0
12.0210, 338, 544, 1, 0
12.0480, 340, 544, 1, 0
12.0730, 342, 544, 1, 0
12.0990, 343, 544, 1, 0
12.1260, 345, 543, 1, 0
12.1510, 347, 543, 1, 0
12.1770, 347, 543, 1, 0
12.2030, 348, 542, 1, 0
12.2290, 349, 542, 1, 0
12.2560, 350, 542, 1, 0
12.2810, 350, 541, 1, 0
12.3070, 352, 540, 1, 0
12.3340, 353, 541, 1, 0
12.3590, 353, 540, 1, 0
12.3860, 355, 537, 1, 0
12.4110, 356, 537, 1, 0
12.4370, 357, 538, 1, 0
12.4640, 357, 537, 1, 0
12.4890, 357, 537, 1, 0
12.5160, 357, 537, 1, 0
12.5410, 357, 533, 1, 0
12.5670, 359, 530, 1, 0
12.5940, 360, 526, 1, 0
12.6190, 363, 520, 1, 0
12.6450, 367, 517, 1, 0
12.6710, 369, 514, 1, 0
12.6970, 373, 510, 1, 0
12.7240, 378, 506, 0, 0
12.7490, 383, 502, 0, 0
12.7750, 389, 496, 0, 0
12.8010, 391, 496, 0, 0
12.8270, 392, 497, 0, 0
12.8540, 394, 494, 0, 0
12.8790, 397, 489, 0, 0
12.9050, 401, 486, 0, 0
12.9320, 403, 485, 0, 0
12.9570, 404, 484, 0, 0
12.9840, 405, 483, 0, 0
13.0090, 408, 479, 0, 0
13.0350, 410, 477, 0, 0
13.0620, 411, 477, 0, 0
13.0870, 412, 478, 0, 0
13.1140, 412, 479, 0, 0
13.1390, 412, 481, 0, 0
13.1650, 413, 481, 0, 0
13.1920, 413, 481, 0, 0
13.2170, 413, 482, 0, 0
13.2430, 413, 483, 0, 0
13.2690, 414, 483, 0, 0
13.2950, 413, 484, 0, 0
13.3220, 412, 487, 0, 0
13.3470, 413, 487, 0, 0
13.3730, 410, 488, 0, 0
13.4000, 407, 492, 0, 0
13.4250, 408, 492, 0, 0
13.4520, 409, 492, 0, 0
13.4770, 408, 493, 0, 0
13.5030, 403, 495, 0, 0
13.5300, 397, 497, 0, 0
13.5550, 393, 499, 0, 0
13.5820, 388, 501, 0, 0
13.6070, 381, 504, 0, 0
13.6330, 373, 507, 1, 0
13.6600, 371, 509, 1, 0
13.6850, 369, 511, 1, 0
13.7120, 366, 513, 1, 0
13.7370, 363, 515, 1, 0
